,ActivePower,WindSpeed,Temperature
2019-01-04 14:00:00+00:00,909.1252,7.2575,25.1739
2019-01-04 15:00:00+00:00,734.3693,6.7824,24.2199
2019-01-04 16:00:00+00:00,652.5902,6.6064,23.5147
2019-01-04 17:00:00+00:00,745.5376,6.9447,22.8212
2019-01-04 18:00:00+00:00,622.9141,6.7083,22.1728
2019-01-04 19:00:00+00:00,487.4943,6.2352,21.6326
2019-01-04 20:00:00+00:00,630.6241,6.7152,21.1408
2019-01-04 21:00:00+00:00,528.9269,6.3287,20.5271
2019-01-04 22:00:00+00:00,240.7185,4.9858,20.0986
2019-01-04 23:00:00+00:00,115.0477,4.2321,20.3008
2019-01-05 00:00:00+00:00,38.2818,3.5790,20.2902
2019-01-05 01:00:00+00:00,-5.0903,2.8108,20.0943
2019-01-05 02:00:00+00:00,-5.2134,2.6407,20.5777
2019-01-05 03:00:00+00:00,-5.2782,2.5375,22.1188
2019-01-05 04:00:00+00:00,62.6944,3.6062,23.5553
2019-01-05 05:00:00+00:00,308.4958,4.9651,24.1759
2019-01-05 06:00:00+00:00,348.6637,5.1504,25.2668
2019-01-05 07:00:00+00:00,226.7546,4.4577,26.5734
2019-01-05 08:00:00+00:00,310.7281,4.7896,27.6027
2019-01-05 09:00:00+00:00,395.4123,5.2666,28.0640
2019-01-05 10:00:00+00:00,307.9897,4.8702,28.2118
2019-01-05 11:00:00+00:00,423.9480,5.6027,27.8286
2019-01-05 12:00:00+00:00,955.6573,7.1935,26.9311
2019-01-05 13:00:00+00:00,1104.9036,7.6192,25.8290
2019-01-05 14:00:00+00:00,1075.7996,7.5620,24.9089
2019-01-05 15:00:00+00:00,1457.3167,8.3066,23.9745
2019-01-05 16:00:00+00:00,1679.2081,8.8640,22.9656
2019-01-05 17:00:00+00:00,1311.0443,8.1451,22.0159
2019-01-05 18:00:00+00:00,807.8860,7.0593,21.1360
2019-01-05 19:00:00+00:00,939.2507,7.4154,20.6791
2019-01-05 20:00:00+00:00,821.8888,7.2461,20.3263
2019-01-05 21:00:00+00:00,976.7570,7.5525,20.0357
2019-01-05 22:00:00+00:00,656.9645,6.8099,20.0061
2019-01-05 23:00:00+00:00,539.4194,6.4657,20.0294
2019-01-06 00:00:00+00:00,275.1041,5.1737,19.8937
2019-01-06 01:00:00+00:00,364.4381,5.6699,19.8587
2019-01-06 02:00:00+00:00,266.6562,5.1748,20.1632
2019-01-06 03:00:00+00:00,151.0279,4.2298,21.3032
2019-01-06 04:00:00+00:00,297.0384,4.9313,22.6008
2019-01-06 05:00:00+00:00,475.5059,5.6518,23.7563
2019-01-06 06:00:00+00:00,241.9588,4.7264,25.0968
2019-01-06 07:00:00+00:00,147.4930,4.2663,26.6220
2019-01-06 08:00:00+00:00,186.0731,4.4701,27.3760
2019-01-06 09:00:00+00:00,133.4041,4.0674,27.9742
2019-01-06 10:00:00+00:00,173.0211,4.3170,28.0596
2019-01-06 11:00:00+00:00,233.1187,4.6857,27.7114
2019-01-06 12:00:00+00:00,424.9238,5.5831,26.8068
2019-01-06 13:00:00+00:00,866.3514,6.9244,25.7465
2019-01-06 14:00:00+00:00,1330.2706,8.1863,24.8168
2019-01-06 15:00:00+00:00,1318.6321,8.2229,23.9785
2019-01-06 16:00:00+00:00,1473.0302,8.4749,23.2480
2019-01-06 17:00:00+00:00,1509.7281,8.5582,22.4257
2019-01-06 18:00:00+00:00,1335.1596,8.4681,21.7946
2019-01-06 19:00:00+00:00,917.6016,7.4189,20.9765
2019-01-06 20:00:00+00:00,962.7928,7.5436,20.5111
2019-01-06 21:00:00+00:00,774.7051,6.9364,20.1535
2019-01-06 22:00:00+00:00,824.7917,7.1381,19.7006
2019-01-06 23:00:00+00:00,832.9434,7.2698,19.6348
2019-01-07 00:00:00+00:00,294.5823,5.3602,19.7707
2019-01-07 01:00:00+00:00,286.3384,5.3101,19.7104
2019-01-07 02:00:00+00:00,325.6308,5.2355,20.6699
2019-01-07 03:00:00+00:00,233.9311,4.5944,21.9362
2019-01-07 04:00:00+00:00,142.2314,3.9534,23.2025
2019-01-07 05:00:00+00:00,106.6328,3.7938,24.6360
2019-01-07 06:00:00+00:00,59.5899,3.8701,26.4115
2019-01-07 07:00:00+00:00,111.4100,3.9783,27.7997
2019-01-07 08:00:00+00:00,140.9746,4.2202,28.8250
2019-01-07 09:00:00+00:00,263.0032,4.6793,29.1869
2019-01-07 10:00:00+00:00,405.9796,5.3349,29.3558
2019-01-07 11:00:00+00:00,463.6655,5.6787,28.9751
2019-01-07 12:00:00+00:00,347.2837,5.3983,28.1876
2019-01-07 13:00:00+00:00,439.8613,5.7876,27.3039
2019-01-07 14:00:00+00:00,590.1028,6.3615,26.1376
2019-01-07 15:00:00+00:00,611.9208,6.5596,25.4036
2019-01-07 16:00:00+00:00,651.0529,6.8316,25.0117
2019-01-07 17:00:00+00:00,929.1390,7.5452,24.9966
2019-01-07 18:00:00+00:00,784.2214,7.0181,25.0603
2019-01-07 19:00:00+00:00,269.0070,5.0821,23.5518
2019-01-07 20:00:00+00:00,185.9656,4.5445,23.0048
2019-01-07 21:00:00+00:00,178.1501,4.5170,22.7265
2019-01-07 22:00:00+00:00,214.1547,4.9132,22.4951
2019-01-07 23:00:00+00:00,185.7892,4.7496,22.3633
2019-01-08 00:00:00+00:00,29.0902,3.5145,21.8104
2019-01-08 01:00:00+00:00,-5.2144,2.6213,22.1521
2019-01-08 02:00:00+00:00,-4.4835,1.6341,23.4674
2019-01-08 03:00:00+00:00,-4.5251,1.3873,25.3867
2019-01-08 04:00:00+00:00,-4.9418,2.3493,26.4994
2019-01-08 05:00:00+00:00,138.2833,4.1501,26.9542
2019-01-08 06:00:00+00:00,351.3085,5.0497,27.1764
2019-01-08 07:00:00+00:00,155.0177,4.4020,28.3096
2019-01-08 08:00:00+00:00,176.5572,4.3726,28.9926
2019-01-08 09:00:00+00:00,147.2993,4.1241,29.7383
2019-01-08 10:00:00+00:00,119.6849,3.9296,29.7820
2019-01-08 11:00:00+00:00,113.5198,3.9204,29.4111
2019-01-08 12:00:00+00:00,138.9230,4.1886,28.6632
2019-01-08 13:00:00+00:00,293.4160,5.1076,27.9878
2019-01-08 14:00:00+00:00,521.8392,6.1630,26.6271
2019-01-08 15:00:00+00:00,625.7835,6.5912,25.8991
2019-01-08 16:00:00+00:00,1003.2802,7.3996,25.0679
2019-01-08 17:00:00+00:00,1180.8506,7.9750,24.6894
2019-01-08 18:00:00+00:00,751.6451,7.0497,24.1827
2019-01-08 19:00:00+00:00,519.8409,6.0764,23.8944
2019-01-08 20:00:00+00:00,158.7022,4.4214,23.3188
2019-01-08 21:00:00+00:00,86.3911,3.9575,23.2685
2019-01-08 22:00:00+00:00,83.3900,3.8436,23.0450
2019-01-08 23:00:00+00:00,5.5716,3.0471,22.7783
2019-01-09 00:00:00+00:00,-4.7426,1.6668,22.4877
2019-01-09 01:00:00+00:00,-5.4146,2.5510,22.4126
2019-01-09 02:00:00+00:00,-5.6399,3.0021,23.0193
2019-01-09 03:00:00+00:00,-5.4140,2.5980,24.1973
2019-01-09 04:00:00+00:00,-5.4546,2.5762,26.1815
2019-01-09 05:00:00+00:00,38.7681,3.3865,27.4803
2019-01-09 06:00:00+00:00,53.3135,3.6822,28.4547
2019-01-09 07:00:00+00:00,112.5760,3.9706,29.4441
2019-01-09 08:00:00+00:00,128.4006,4.1222,30.3883
2019-01-09 09:00:00+00:00,269.8765,4.6325,30.3707
